x0,y0,z0,P
   -0.029835 ,   4.9053e-05 ,   3.8653e-05 ,         0.11
  -0.0082058 ,  -4.9076e-05 ,     5.07e-05 ,         0.83
 -8.1487e-05 ,   2.6694e-05 ,   7.8965e-05 ,          0.9
   -0.014915 ,  -9.1152e-05 ,   5.9144e-06 ,         0.05
  -0.0074594 ,  -4.1627e-05 ,   6.6057e-05 ,         0.89
 -0.00020225 ,   7.2337e-05 ,  -2.2687e-05 ,         0.81
   -0.028331 ,   5.0094e-05 ,  -2.7404e-05 ,         0.17
  -0.0099581 ,   6.3892e-05 ,   2.1955e-05 ,         0.83
   -0.034377 ,  -6.4392e-06 ,  -8.4241e-05 ,         0.04
   -0.014212 ,   -1.127e-05 ,   9.3365e-05 ,         0.02
    0.001892 ,  -7.5118e-05 ,    3.957e-05 ,         0.86
   0.0060395 ,   -1.303e-05 ,  -4.0419e-06 ,         0.01
   -0.015089 ,   7.6885e-05 ,  -2.8922e-05 ,         0.23
   -0.026119 ,  -5.7571e-05 ,   3.2721e-05 ,         0.12
   -0.007374 ,   6.5793e-05 ,  -7.0326e-06 ,         0.85
   0.0058649 ,  -1.0869e-05 ,   3.2438e-05 ,         0.14
   -0.014508 ,  -2.7299e-05 ,  -8.6033e-05 ,         0.12
   0.0087096 ,    -2.86e-05 ,  -4.9301e-05 ,         0.04
   -0.030136 ,  -4.8129e-05 ,  -1.2076e-05 ,         0.12
   -0.034441 ,  -1.8752e-05 ,  -5.5457e-05 ,         0.17
   -0.025132 ,  -3.0693e-05 ,  -5.3055e-05 ,         0.24
   -0.020179 ,    3.226e-05 ,   6.6519e-05 ,          0.2
   -0.018962 ,   5.1992e-05 ,      5.4e-05 ,         0.18
   -0.024426 ,   6.2913e-05 ,  -3.6352e-07 ,         0.21
  -0.0053078 ,   3.0007e-05 ,   5.5506e-05 ,         0.77
   -0.035406 ,   7.0288e-05 ,   1.4602e-05 ,         0.08
   -0.019896 ,  -7.5167e-05 ,  -3.0418e-05 ,         0.11
   -0.025241 ,   7.1863e-05 ,  -6.5915e-05 ,            0
   -0.024675 ,   -4.133e-05 ,  -7.4265e-05 ,         0.11
   -0.034722 ,   2.3124e-05 ,   5.8873e-05 ,         0.07
   -0.010309 ,  -6.1981e-05 ,   6.6911e-05 ,         0.31
   -0.025864 ,  -3.5542e-05 ,    8.953e-06 ,         0.23
   -0.032239 ,   2.4427e-05 ,  -2.8307e-06 ,         0.21
   -0.039967 ,   1.6102e-05 ,   2.4149e-05 ,          0.1
    -0.02582 ,   2.4918e-05 ,  -3.1907e-05 ,         0.27
   -0.012459 ,  -3.4966e-05 ,   -4.494e-05 ,          0.6
   0.0035451 ,   -3.915e-05 ,   3.8529e-05 ,         0.46
   -0.037887 ,   3.9203e-06 ,   1.0072e-05 ,          0.2
   0.0052361 ,  -6.6138e-05 ,   3.2013e-05 ,         0.61
   -0.033451 ,  -3.0686e-05 ,    3.481e-06 ,         0.23
   0.0016864 ,   2.7802e-05 ,    2.631e-05 ,         0.26
  2.3419e-05 ,  -6.7209e-05 ,  -4.2361e-05 ,         0.75
    0.005894 ,   1.3818e-05 ,   9.1664e-05 ,         0.96
