x0,P
   -0.036629 ,           0.1
   -0.032057 ,           0.2
   -0.034715 ,           0.1
    -0.03398 ,          0.24
   -0.033459 ,          0.28
   -0.032518 ,          0.28
   -0.039162 ,          0.24
   -0.030867 ,          0.34
   -0.031742 ,          0.22
   -0.030039 ,          0.17
   -0.035573 ,          0.22
   -0.030381 ,          0.28
   -0.032251 ,          0.23
   -0.031313 ,           0.2
   -0.036002 ,          0.24
   -0.031999 ,          0.23
   -0.030894 ,          0.16
   -0.037362 ,          0.18
   -0.038639 ,          0.12
   -0.034203 ,           0.2
    -0.03855 ,          0.14
   -0.033779 ,          0.26
   -0.034868 ,          0.16
    -0.03924 ,          0.12
   -0.038767 ,          0.26
     -0.0376 ,          0.12
   -0.039503 ,          0.14
   -0.030552 ,          0.34
   -0.035107 ,          0.08
   -0.030999 ,           0.2
   -0.038888 ,           0.2
   -0.036103 ,          0.02
   -0.035961 ,          0.24
    -0.03868 ,           0.2
   -0.030439 ,           0.3
   -0.039402 ,          0.12
   -0.036468 ,          0.26
   -0.039846 ,          0.14
    -0.03831 ,          0.08
   -0.032683 ,           0.1
   -0.035491 ,           0.2
   -0.037037 ,          0.14
    -0.03811 ,          0.14
   -0.038165 ,          0.14
   -0.033744 ,          0.22
   -0.039189 ,          0.14
   -0.032243 ,          0.32
   -0.035641 ,          0.24
   -0.036937 ,          0.16
   -0.034892 ,          0.18
   -0.032052 ,          0.12
   0.0046319 ,          0.04
   0.0046319 ,          0.04
    0.021825 ,             0
    0.009191 ,             0
    0.018038 ,             0
   0.0010623 ,          0.12
     0.02106 ,             0
   0.0010708 ,          0.06
    0.004993 ,          0.04
    0.014456 ,             0
   0.0051948 ,          0.02
   0.0086065 ,             0
   0.0037718 ,          0.09
   0.0080316 ,             0
   0.0064217 ,             0
   0.0086131 ,             0
   0.0073488 ,             0
    0.018077 ,             0
    0.022572 ,             0
   0.0076293 ,             0
   0.0012444 ,          0.26
    0.014031 ,             0
   0.0058621 ,          0.02
    0.020328 ,             0
     0.01386 ,             0
   0.0072659 ,             0
    0.018099 ,             0
    0.024884 ,             0
   0.0045674 ,          0.06
    0.022889 ,             0
    0.018503 ,             0
    0.014215 ,             0
    0.020454 ,             0
    0.021362 ,             0
   0.0032677 ,          0.08
    0.011253 ,             0
   0.0036742 ,          0.14
    0.016226 ,             0
    0.014955 ,             0
    0.019002 ,             0
    0.020402 ,             0
    0.014568 ,             0
   0.0024321 ,          0.14
    0.012728 ,             0
    0.016557 ,             0
    0.015769 ,             0
   0.0054937 ,             0
    0.018958 ,             0
    0.022589 ,             0
   0.0014487 ,          0.06
     0.01062 ,             0
    0.019131 ,             0
   0.0044701 ,          0.06
    0.023924 ,             0
   0.0087721 ,             0
   0.0088064 ,             0
    0.011325 ,             0
   0.0063827 ,             0
   0.0078306 ,             0
    0.015788 ,             0
   0.0054943 ,             0
   0.0017654 ,          0.14
     0.01283 ,             0
     0.01383 ,             0
    0.012287 ,             0
   0.0045593 ,          0.06
    0.008892 ,             0
   0.0047105 ,          0.05
    0.016232 ,             0
   0.0031014 ,           0.2
   0.0094381 ,             0
    0.019806 ,             0
    0.013227 ,             0
   0.0038923 ,          0.02
    0.019352 ,             0
    0.019308 ,             0
    0.017222 ,             0
    0.014245 ,             0
    0.002378 ,          0.06
    0.014028 ,             0
    0.018548 ,             0
    0.010128 ,             0
   0.0099289 ,             0
    0.019456 ,             0
    0.017583 ,             0
    0.014396 ,             0
    0.022862 ,             0
   0.0049746 ,          0.04
   0.0017786 ,          0.12
    0.012785 ,             0
